instance,env_seed,agent_seed,cost,time,tw,method,arrival,category,fleet
RC1_10_1,15,1,24643,600.97,TW4,hindsight,uni,RC,1.0
RC2_10_1,15,1,17696,600.96,TW4,hindsight,uni,RC,1.0
C1_10_1,29,1,32254,600.97,TW4,hindsight,uni,C,1.0
C2_10_1,29,1,30209,601.0,TW4,hindsight,uni,C,1.0
R1_10_1,29,1,26867,600.98,TW4,hindsight,uni,R,1.0
R2_10_1,29,1,18589,600.96,TW4,hindsight,uni,R,1.0
RC1_10_1,29,1,24171,600.93,TW4,hindsight,uni,RC,1.0
RC2_10_1,29,1,17491,600.91,TW4,hindsight,uni,RC,1.0
C1_10_1,7,1,30494,601.03,TW4,hindsight,uni,C,1.0
C2_10_1,7,1,27570,601.02,TW4,hindsight,uni,C,1.0
R1_10_1,7,1,25864,600.97,TW4,hindsight,uni,R,1.0
R2_10_1,7,1,19024,601.08,TW4,hindsight,uni,R,1.0
RC1_10_1,7,1,26293,601.1,TW4,hindsight,uni,RC,1.0
RC2_10_1,7,1,18064,601.06,TW4,hindsight,uni,RC,1.0
C1_10_1,3,1,29460,600.9,TW4,hindsight,uni,C,1.0
C2_10_1,3,1,30100,600.95,TW4,hindsight,uni,C,1.0
R1_10_1,3,1,26604,601.03,TW4,hindsight,uni,R,1.0
R2_10_1,3,1,18110,600.93,TW4,hindsight,uni,R,1.0
RC1_10_1,3,1,26248,601.0,TW4,hindsight,uni,RC,1.0
RC2_10_1,3,1,18242,601.01,TW4,hindsight,uni,RC,1.0
C1_10_1,11,1,30240,601.0,TW4,hindsight,uni,C,1.0
C2_10_1,11,1,26488,600.99,TW4,hindsight,uni,C,1.0
R1_10_1,11,1,26650,601.0,TW4,hindsight,uni,R,1.0
R2_10_1,11,1,19167,600.99,TW4,hindsight,uni,R,1.0
RC1_10_1,11,1,26488,600.98,TW4,hindsight,uni,RC,1.0
RC2_10_1,11,1,19343,600.97,TW4,hindsight,uni,RC,1.0
C1_10_1,39,1,29879,600.98,TW4,hindsight,uni,C,1.0
C2_10_1,39,1,27004,600.88,TW4,hindsight,uni,C,1.0
R1_10_1,39,1,25374,601.05,TW4,hindsight,uni,R,1.0
R2_10_1,39,1,18606,600.97,TW4,hindsight,uni,R,1.0
RC1_10_1,39,1,25732,600.96,TW4,hindsight,uni,RC,1.0
RC2_10_1,39,1,18114,600.97,TW4,hindsight,uni,RC,1.0
C1_10_1,38,1,31454,601.02,TW4,hindsight,uni,C,1.0
C2_10_1,38,1,32509,601.07,TW4,hindsight,uni,C,1.0
R1_10_1,38,1,25501,600.92,TW4,hindsight,uni,R,1.0
R2_10_1,38,1,17866,600.94,TW4,hindsight,uni,R,1.0
RC1_10_1,38,1,25152,600.97,TW4,hindsight,uni,RC,1.0
RC2_10_1,38,1,17580,600.92,TW4,hindsight,uni,RC,1.0
C1_10_1,10,1,30818,600.93,TW4,hindsight,uni,C,1.0
C2_10_1,10,1,26284,600.98,TW4,hindsight,uni,C,1.0
R1_10_1,10,1,25248,600.94,TW4,hindsight,uni,R,1.0
R2_10_1,10,1,18817,600.99,TW4,hindsight,uni,R,1.0
RC1_10_1,10,1,26432,601.16,TW4,hindsight,uni,RC,1.0
RC2_10_1,10,1,17811,601.11,TW4,hindsight,uni,RC,1.0
C1_10_1,2,1,31429,600.98,TW4,hindsight,uni,C,1.0
C2_10_1,2,1,28240,600.97,TW4,hindsight,uni,C,1.0
R1_10_1,2,1,25906,601.01,TW4,hindsight,uni,R,1.0
R2_10_1,2,1,18624,600.9,TW4,hindsight,uni,R,1.0
RC1_10_1,2,1,23625,600.9,TW4,hindsight,uni,RC,1.0
RC2_10_1,2,1,17032,600.89,TW4,hindsight,uni,RC,1.0
C1_10_1,12,1,31195,601.0,TW4,hindsight,uni,C,1.0
C2_10_1,12,1,26010,600.9,TW4,hindsight,uni,C,1.0
R1_10_1,12,1,24155,600.93,TW4,hindsight,uni,R,1.0
R2_10_1,12,1,17544,600.95,TW4,hindsight,uni,R,1.0
RC1_10_1,12,1,25434,600.98,TW4,hindsight,uni,RC,1.0
RC2_10_1,12,1,18365,600.96,TW4,hindsight,uni,RC,1.0
C1_10_1,13,1,29775,601.0,TW4,hindsight,uni,C,1.0
C2_10_1,13,1,27806,600.91,TW4,hindsight,uni,C,1.0
R1_10_1,13,1,26760,600.99,TW4,hindsight,uni,R,1.0
R2_10_1,13,1,17950,600.94,TW4,hindsight,uni,R,1.0
RC1_10_1,13,1,24348,600.91,TW4,hindsight,uni,RC,1.0
RC2_10_1,13,1,17494,600.92,TW4,hindsight,uni,RC,1.0
C1_10_1,1,1,31102,601.03,TW4,hindsight,uni,C,1.0
C2_10_1,1,1,25248,600.94,TW4,hindsight,uni,C,1.0
R1_10_1,1,1,25068,600.93,TW4,hindsight,uni,R,1.0
R2_10_1,1,1,19153,601.1,TW4,hindsight,uni,R,1.0
RC1_10_1,1,1,24910,600.97,TW4,hindsight,uni,RC,1.0
RC2_10_1,1,1,17420,600.93,TW4,hindsight,uni,RC,1.0
C1_10_1,48,1,32475,601.08,TW4,hindsight,uni,C,1.0
C2_10_1,48,1,27801,600.99,TW4,hindsight,uni,C,1.0
R1_10_1,48,1,26032,600.94,TW4,hindsight,uni,R,1.0
R2_10_1,48,1,20237,600.97,TW4,hindsight,uni,R,1.0
RC1_10_1,48,1,26161,601.02,TW4,hindsight,uni,RC,1.0
RC2_10_1,48,1,17882,600.96,TW4,hindsight,uni,RC,1.0
C1_10_1,49,1,29855,600.94,TW4,hindsight,uni,C,1.0
C2_10_1,49,1,28021,600.93,TW4,hindsight,uni,C,1.0
R1_10_1,49,1,26461,600.94,TW4,hindsight,uni,R,1.0
R2_10_1,49,1,18894,600.96,TW4,hindsight,uni,R,1.0
RC1_10_1,49,1,25859,601.03,TW4,hindsight,uni,RC,1.0
RC2_10_1,49,1,18228,600.98,TW4,hindsight,uni,RC,1.0
C1_10_1,41,1,30658,768.3,TW4,icd-double-threshold,uni,C,1.0
C2_10_1,41,1,30598,830.68,TW4,icd-double-threshold,uni,C,1.0
R1_10_1,41,1,29849,748.05,TW4,icd-double-threshold,uni,R,1.0
R2_10_1,41,1,21229,840.33,TW4,icd-double-threshold,uni,R,1.0
RC1_10_1,41,1,27153,833.51,TW4,icd-double-threshold,uni,RC,1.0
RC2_10_1,41,1,20496,807.67,TW4,icd-double-threshold,uni,RC,1.0
C1_10_1,40,1,35035,828.61,TW4,icd-double-threshold,uni,C,1.0
C2_10_1,40,1,29819,796.35,TW4,icd-double-threshold,uni,C,1.0
R1_10_1,40,1,28759,834.55,TW4,icd-double-threshold,uni,R,1.0
R2_10_1,40,1,22310,834.54,TW4,icd-double-threshold,uni,R,1.0
RC1_10_1,40,1,28623,839.7,TW4,icd-double-threshold,uni,RC,1.0
RC2_10_1,40,1,21624,805.69,TW4,icd-double-threshold,uni,RC,1.0
C1_10_1,42,1,33634,856.42,TW4,icd-double-threshold,uni,C,1.0
C2_10_1,42,1,30188,887.56,TW4,icd-double-threshold,uni,C,1.0
R1_10_1,42,1,29190,862.83,TW4,icd-double-threshold,uni,R,1.0
R2_10_1,42,1,22089,776.27,TW4,icd-double-threshold,uni,R,1.0
RC1_10_1,42,1,28813,898.76,TW4,icd-double-threshold,uni,RC,1.0
RC2_10_1,42,1,22404,873.56,TW4,icd-double-threshold,uni,RC,1.0
C1_10_1,43,1,32065,800.31,TW4,icd-double-threshold,uni,C,1.0
C2_10_1,43,1,28113,765.14,TW4,icd-double-threshold,uni,C,1.0
R1_10_1,43,1,30498,835.95,TW4,icd-double-threshold,uni,R,1.0
R2_10_1,43,1,21511,835.74,TW4,icd-double-threshold,uni,R,1.0
RC1_10_1,43,1,29719,837.77,TW4,icd-double-threshold,uni,RC,1.0
RC2_10_1,43,1,23801,812.14,TW4,icd-double-threshold,uni,RC,1.0
C1_10_1,47,1,31775,768.84,TW4,icd-double-threshold,uni,C,1.0
C2_10_1,47,1,30331,829.37,TW4,icd-double-threshold,uni,C,1.0
R1_10_1,47,1,29741,803.56,TW4,icd-double-threshold,uni,R,1.0
R2_10_1,47,1,23168,837.41,TW4,icd-double-threshold,uni,R,1.0
RC1_10_1,47,1,28912,831.29,TW4,icd-double-threshold,uni,RC,1.0
RC2_10_1,47,1,21298,834.2,TW4,icd-double-threshold,uni,RC,1.0
C1_10_1,46,1,32808,826.75,TW4,icd-double-threshold,uni,C,1.0
C2_10_1,46,1,31990,884.76,TW4,icd-double-threshold,uni,C,1.0
R1_10_1,46,1,28050,834.21,TW4,icd-double-threshold,uni,R,1.0
R2_10_1,46,1,20330,836.46,TW4,icd-double-threshold,uni,R,1.0
RC1_10_1,46,1,28811,923.49,TW4,icd-double-threshold,uni,RC,1.0
RC2_10_1,46,1,21076,895.34,TW4,icd-double-threshold,uni,RC,1.0
C1_10_1,50,1,31820,799.06,TW4,icd-double-threshold,uni,C,1.0
C2_10_1,50,1,29473,827.09,TW4,icd-double-threshold,uni,C,1.0
R1_10_1,50,1,29067,835.19,TW4,icd-double-threshold,uni,R,1.0
R2_10_1,50,1,22954,838.91,TW4,icd-double-threshold,uni,R,1.0
RC1_10_1,50,1,27151,741.25,TW4,icd-double-threshold,uni,RC,1.0
RC2_10_1,50,1,19629,745.63,TW4,icd-double-threshold,uni,RC,1.0
C1_10_1,44,1,32910,765.26,TW4,icd-double-threshold,uni,C,1.0
C2_10_1,44,1,29517,827.46,TW4,icd-double-threshold,uni,C,1.0
R1_10_1,44,1,29504,833.85,TW4,icd-double-threshold,uni,R,1.0
R2_10_1,44,1,23354,833.04,TW4,icd-double-threshold,uni,R,1.0
RC1_10_1,44,1,28926,831.54,TW4,icd-double-threshold,uni,RC,1.0
RC2_10_1,44,1,22039,834.59,TW4,icd-double-threshold,uni,RC,1.0
C1_10_1,45,1,32529,799.19,TW4,icd-double-threshold,uni,C,1.0
C2_10_1,45,1,31031,705.76,TW4,icd-double-threshold,uni,C,1.0
R1_10_1,45,1,29257,741.15,TW4,icd-double-threshold,uni,R,1.0
R2_10_1,45,1,21909,841.53,TW4,icd-double-threshold,uni,R,1.0
RC1_10_1,45,1,27478,745.17,TW4,icd-double-threshold,uni,RC,1.0
RC2_10_1,45,1,19112,745.96,TW4,icd-double-threshold,uni,RC,1.0
C1_10_1,36,1,31828,827.91,TW4,icd-double-threshold,uni,C,1.0
C2_10_1,36,1,29233,674.65,TW4,icd-double-threshold,uni,C,1.0
R1_10_1,36,1,28730,747.55,TW4,icd-double-threshold,uni,R,1.0
R2_10_1,36,1,19937,748.65,TW4,icd-double-threshold,uni,R,1.0
