instance,Kleopatra,Team_SB,OptiML,HustSmart,OrbertoHood,UPB,MTGBWS,HowToRoute,Kirchhoffslaw,hindsight,icd-double-threshold,icd-double-threshold180,icd-double-threshold600,icd-hamming-distance1,icd-hamming-distance2,icd-hamming-distance3
ORTEC-VRPTW-ASYM-bbccd2dd-d1-n271-k25,322170,325071,335614,336094,343947,339160,331117,351228,343026,309127.0,330033.9,329575.6,324954.6,335762.5,331246.1,330966.9
ORTEC-VRPTW-ASYM-6cc299a2-d1-n489-k35,347956,353602,356703,363403,363166,365665,368367,359128,378507,321797.0,351716.8,356671.1,353259.3,362946.3,356420.1,363039.8
ORTEC-VRPTW-ASYM-c7de4e2f-d1-n471-k34,319350,325136,327997,330973,334156,328531,330007,324648,334889,311704.0,323019.9,322224.5,320743.4,335750.1,324196.7,324348.7
ORTEC-VRPTW-ASYM-8553ed86-d1-n222-k13,305353,321100,324934,320330,327781,328432,324640,324775,328427,297539.0,317458.2,315632.8,315834.1,337175.2,321198.2,314767.5
ORTEC-VRPTW-ASYM-4154709c-d1-n375-k24,498223,524366,524176,526880,529365,531692,542109,529280,554278,476030.0,514021.1,512485.7,513355.5,527744.0,510544.8,516886.5
ORTEC-VRPTW-ASYM-883f3b83-d1-n264-k18,544793,560584,551487,568549,547639,565937,559305,568251,561896,506654.0,546495.6,540426.8,539676.7,552261.2,544547.0,540027.4
ORTEC-VRPTW-ASYM-1be7a513-d1-n240-k15,301124,304018,306275,314100,317810,310508,306663,314178,311953,294552.0,304147.3,303725.2,304567.2,306637.0,304402.5,305274.9
ORTEC-VRPTW-ASYM-fb18c688-d1-n338-k22,342181,345009,346639,352103,347109,360837,361242,360368,366869,315513.0,345251.9,341210.1,348570.3,349696.0,348774.3,346041.2
ORTEC-VRPTW-ASYM-95acb866-d1-n201-k18,319280,331706,325033,335125,338727,331024,329505,328003,334881,302348.0,323136.8,321288.8,325720.1,334560.2,326906.6,326745.4
ORTEC-VRPTW-ASYM-18f115bd-d1-n312-k18,432715,443282,446358,457053,451769,462483,467607,465241,468427,393666.0,437281.1,437044.8,431908.8,443297.4,439036.1,440466.3
ORTEC-VRPTW-ASYM-f9ec0671-d1-n224-k12,377482,395267,383758,389649,380253,389938,394980,400945,393460,356102.0,374334.4,376480.0,369807.2,379430.4,375018.8,374926.7
ORTEC-VRPTW-ASYM-56c92e89-d1-n262-k20,322877,318977,330919,332185,336755,338721,343142,340766,351026,294347.0,325619.1,325031.7,324581.1,333834.0,329509.6,332813.0
